away,d_team,defender,home,period,pp_status,shooter,type,x,y
10,52,8470828,52,1,even,8475172,BLOCKED_SHOT,55.0,-22.0
10,10,8478483,52,1,even,8477504,BLOCKED_SHOT,-35.0,1.0
10,10,8474037,52,1,even,8476885,BLOCKED_SHOT,-45.0,23.0
10,10,8470611,52,1,sh,8479339,BLOCKED_SHOT,-59.0,-12.0
10,52,8470834,52,1,pp,8466139,BLOCKED_SHOT,65.0,2.0
10,10,8475172,52,1,even,8476885,BLOCKED_SHOT,-46.0,2.0
10,52,8474574,52,1,even,8474037,BLOCKED_SHOT,68.0,9.0
10,10,8473463,52,1,sh,8479339,BLOCKED_SHOT,-55.0,-14.0
10,10,8479458,52,1,sh,8470834,BLOCKED_SHOT,-69.0,9.0
10,52,8474574,52,1,even,8476941,BLOCKED_SHOT,59.0,-7.0
10,52,8470828,52,1,even,8478483,BLOCKED_SHOT,57.0,-14.0
10,10,8475172,52,1,even,8475179,BLOCKED_SHOT,-60.0,26.0
10,10,8479458,52,2,sh,8470834,BLOCKED_SHOT,79.0,-8.0
10,10,8470611,52,2,sh,8479339,BLOCKED_SHOT,55.0,22.0
10,10,8479458,52,2,even,8471218,BLOCKED_SHOT,82.0,5.0
10,10,8468493,52,2,even,8479339,BLOCKED_SHOT,61.0,-22.0
10,10,8479458,52,2,even,8473574,BLOCKED_SHOT,78.0,8.0
10,10,8479458,52,2,even,8474574,BLOCKED_SHOT,55.0,18.0
10,52,8477504,52,2,even,8474581,BLOCKED_SHOT,-81.0,-5.0
10,10,8480158,52,2,even,8479339,BLOCKED_SHOT,66.0,-8.0
10,10,8479458,52,2,sh,8473618,BLOCKED_SHOT,72.0,3.0
10,52,8476885,52,2,even,8476941,BLOCKED_SHOT,-74.0,1.0
10,52,8477429,52,2,even,8476941,BLOCKED_SHOT,-49.0,17.0
10,10,8477015,52,2,pp,8470828,BLOCKED_SHOT,61.0,22.0
10,52,8476469,52,2,even,8474581,BLOCKED_SHOT,-52.0,10.0
10,10,8474581,52,2,even,8476460,BLOCKED_SHOT,51.0,-21.0
10,52,8476885,52,2,even,8474037,BLOCKED_SHOT,-80.0,-6.0
10,52,8476885,52,2,even,8475172,BLOCKED_SHOT,-79.0,-7.0
10,52,8471218,52,2,even,8474581,BLOCKED_SHOT,-49.0,-16.0
10,52,8477504,52,2,even,8478483,BLOCKED_SHOT,-66.0,15.0
10,10,8474581,52,3,even,8476885,BLOCKED_SHOT,-73.0,5.0
10,10,8479318,52,3,even,8470834,BLOCKED_SHOT,-67.0,5.0
10,10,8474037,52,3,even,8475179,BLOCKED_SHOT,-35.0,-14.0
10,10,8478483,52,3,sh,8476885,BLOCKED_SHOT,-36.0,21.0
10,10,8479458,52,3,sh,8476460,BLOCKED_SHOT,-74.0,3.0
10,10,8479458,52,3,sh,8470834,BLOCKED_SHOT,-75.0,1.0
10,10,8478483,52,3,even,8470828,BLOCKED_SHOT,-58.0,-7.0
10,52,8476885,52,3,even,8479318,BLOCKED_SHOT,72.0,5.0
19,19,8474565,5,1,even,8471675,BLOCKED_SHOT,74.0,1.0
19,19,8474565,5,1,even,8471817,BLOCKED_SHOT,73.0,-3.0
19,19,8470803,5,1,even,8475810,BLOCKED_SHOT,85.0,-2.0
19,19,8474125,5,1,even,8475735,BLOCKED_SHOT,82.0,10.0
19,5,8471817,5,1,even,8474145,BLOCKED_SHOT,-44.0,12.0
19,5,8471724,5,1,even,8474125,BLOCKED_SHOT,-68.0,-13.0
19,5,8471817,5,1,even,8474145,BLOCKED_SHOT,-46.0,18.0
19,5,8474013,5,1,even,8471669,BLOCKED_SHOT,-73.0,-20.0
19,19,8476441,5,1,even,8477839,BLOCKED_SHOT,73.0,-11.0
19,5,8471675,5,1,even,8475170,BLOCKED_SHOT,-76.0,-9.0
19,5,8475810,5,2,even,8474145,BLOCKED_SHOT,58.0,-5.0
19,19,8474145,5,2,even,8474176,BLOCKED_SHOT,-80.0,-8.0
19,19,8474565,5,2,pp,8474176,BLOCKED_SHOT,-30.0,-19.0
19,5,8471436,5,2,even,8474125,BLOCKED_SHOT,67.0,-4.0
19,5,8475208,5,2,even,8474565,BLOCKED_SHOT,64.0,-12.0
19,19,8475765,5,2,even,8475735,BLOCKED_SHOT,-78.0,-1.0
19,19,8470803,5,2,even,8471215,BLOCKED_SHOT,-64.0,16.0
19,5,8471675,5,2,even,8476441,BLOCKED_SHOT,78.0,-8.0
19,19,8474125,5,3,even,8474602,BLOCKED_SHOT,75.0,-8.0
19,5,8471436,5,3,even,8475170,BLOCKED_SHOT,-72.0,9.0
19,19,8476441,5,3,sh,8471215,BLOCKED_SHOT,75.0,-9.0
19,19,8475765,5,3,even,8476874,BLOCKED_SHOT,38.0,17.0
19,19,8474125,5,3,even,8475810,BLOCKED_SHOT,48.0,8.0
19,19,8475170,5,3,even,8471724,BLOCKED_SHOT,57.0,-12.0
19,19,8470803,5,3,sh,8471724,BLOCKED_SHOT,65.0,9.0
19,19,8471669,5,3,even,8477839,BLOCKED_SHOT,76.0,3.0
19,19,8476892,5,3,even,8475810,BLOCKED_SHOT,84.0,10.0
19,19,8474565,5,3,even,8477839,BLOCKED_SHOT,76.0,1.0
19,19,8474125,5,3,even,8475208,BLOCKED_SHOT,70.0,-1.0
20,22,8471729,22,1,even,8471346,BLOCKED_SHOT,-43.0,-2.0
20,20,8477497,22,1,even,8476457,BLOCKED_SHOT,48.0,-19.0
20,20,8470162,22,1,even,8476988,BLOCKED_SHOT,60.0,-9.0
20,20,8470966,22,1,even,8471729,BLOCKED_SHOT,73.0,1.0
20,20,8474673,22,1,even,8473468,BLOCKED_SHOT,66.0,-17.0
20,22,8473468,22,1,even,8474673,BLOCKED_SHOT,-72.0,3.0
