,x,y
0,84.0,-6.0
1,62.0,5.0
2,84.0,-22.0
3,-82.0,2.0
4,68.0,12.0
5,85.0,-6.0
6,-82.0,8.0
7,84.0,-3.0
8,-80.0,1.0
0,45.0,10.0
1,-78.0,3.0
2,-62.0,5.0
3,-38.0,-13.0
4,63.0,4.0
5,-57.0,8.0
6,80.0,-1.0
7,81.0,-15.0
8,62.0,-6.0
0,80.0,12.0
1,77.0,-5.0
2,68.0,1.0
0,-64.0,-5.0
1,-81.0,16.0
2,84.0,5.0
3,55.0,21.0
4,-77.0,-3.0
5,91.0,-12.0
6,-81.0,0.0
7,-63.0,-13.0
0,36.0,3.0
1,-52.0,1.0
2,-70.0,0.0
3,-65.0,5.0
4,-42.0,-19.0
5,-66.0,-1.0
6,-81.0,-18.0
0,77.0,7.0
1,-76.0,20.0
2,-86.0,-13.0
3,-89.0,6.0
4,-80.0,5.0
0,85.0,-10.0
1,71.0,-18.0
2,-85.0,-9.0
3,-60.0,-7.0
4,-58.0,7.0
5,-55.0,29.0
0,68.0,-34.0
1,-58.0,7.0
2,-59.0,1.0
3,82.0,1.0
4,-64.0,-12.0
5,-65.0,-1.0
6,67.0,3.0
7,-53.0,-8.0
8,73.0,1.0
9,-67.0,1.0
10,-71.0,-6.0
0,85.0,-2.0
1,82.0,3.0
2,85.0,10.0
3,84.0,-3.0
4,-60.0,3.0
5,-58.0,-12.0
0,-78.0,-10.0
1,-82.0,-3.0
2,-82.0,-10.0
3,-77.0,-8.0
4,-71.0,17.0
5,-83.0,-18.0
6,87.0,-10.0
7,76.0,2.0
8,49.0,18.0
9,-78.0,-3.0
10,-76.0,-8.0
0,-82.0,9.0
1,-82.0,-7.0
2,66.0,12.0
3,82.0,-9.0
4,81.0,1.0
5,-81.0,4.0
6,-63.0,9.0
7,81.0,2.0
8,73.0,-13.0
0,78.0,7.0
1,-82.0,1.0
0,80.0,-3.0
1,85.0,-5.0
2,-78.0,-17.0
3,-32.0,1.0
4,-61.0,3.0
0,77.0,-7.0
1,-80.0,-9.0
2,77.0,3.0
3,76.0,5.0
4,79.0,-6.0
5,64.0,1.0
6,-74.0,1.0
7,80.0,27.0
0,68.0,8.0
1,51.0,-21.0
2,75.0,-10.0
0,-56.0,13.0
1,75.0,2.0
2,-83.0,8.0
3,-63.0,-6.0
4,-44.0,15.0
5,-80.0,0.0
6,32.0,-16.0
7,-66.0,-14.0
8,-73.0,0.0
9,-34.0,-16.0
10,-76.0,2.0
11,-76.0,-1.0
12,-71.0,5.0
0,-59.0,-8.0
1,75.0,-2.0
2,-79.0,8.0
0,75.0,3.0
1,-85.0,-6.0
2,70.0,21.0
3,-66.0,24.0
4,71.0,1.0
0,78.0,10.0
1,-81.0,-1.0
2,-68.0,-11.0
3,-76.0,9.0
4,79.0,-2.0
5,86.0,7.0
6,82.0,1.0
