away,away_id,d_team,goalie,home,home_id,period,pp_status,scorer,type,x,y
1,10,52,8473461,0,52,1,pp,8475172,GOAL,84.0,-6.0
2,10,52,8473461,0,52,1,even,8474037,GOAL,62.0,5.0
3,10,52,8473461,0,52,1,even,8477939,GOAL,84.0,-22.0
4,10,52,8473461,0,52,2,even,8466139,GOAL,-82.0,2.0
5,10,52,8473461,0,52,3,even,8466139,GOAL,68.0,12.0
6,10,52,8476945,0,52,3,even,8478483,GOAL,85.0,-6.0
6,10,10,8475883,1,52,3,even,8476460,GOAL,-82.0,8.0
7,10,52,8476945,1,52,3,even,8479318,GOAL,84.0,-3.0
7,10,10,8475883,2,52,3,even,8473618,GOAL,-80.0,1.0
0,19,19,8474596,1,5,1,even,8474602,GOAL,45.0,10.0
1,19,5,8476899,1,5,1,even,8475170,GOAL,-78.0,3.0
2,19,5,8476899,1,5,1,pp,8476892,GOAL,-62.0,5.0
2,19,19,8474596,2,5,2,even,8476874,GOAL,-38.0,-13.0
3,19,5,8476899,2,5,2,even,8474565,GOAL,63.0,4.0
4,19,5,8476899,2,5,3,even,8471669,GOAL,-57.0,8.0
4,19,19,8474596,3,5,3,pp,8471675,GOAL,80.0,-1.0
4,19,19,8474596,4,5,3,even,8477839,GOAL,81.0,-15.0
5,19,5,8476899,4,5,4,even,8474565,GOAL,62.0,-6.0
0,20,20,8469608,1,22,1,even,8478402,GOAL,80.0,12.0
0,20,20,8469608,2,22,3,even,8478402,GOAL,77.0,-5.0
1,4,28,8474889,0,28,1,even,8473512,GOAL,-64.0,-5.0
2,4,28,8474889,0,28,1,pp,8475738,GOAL,-81.0,16.0
2,4,4,8470880,1,28,1,even,8478099,GOAL,84.0,5.0
2,4,4,8470880,2,28,1,pp,8478099,GOAL,55.0,21.0
3,4,28,8474889,2,28,2,pp,8474190,GOAL,-77.0,-3.0
3,4,4,8470880,3,28,3,pp,8474053,GOAL,91.0,-12.0
4,4,28,8474889,3,28,3,pp,8474190,GOAL,-81.0,0.0
0,18,18,8471469,1,6,1,pp,8477956,GOAL,36.0,3.0
1,18,6,8471695,1,6,1,even,8478042,GOAL,-52.0,1.0
1,18,18,8471469,2,6,2,even,8478498,GOAL,-70.0,0.0
1,18,18,8471469,3,6,2,even,8479325,GOAL,-65.0,5.0
2,18,6,8471695,4,6,3,pp,8468486,GOAL,-66.0,-1.0
3,18,6,8471695,4,6,3,even,8476887,GOAL,-81.0,-18.0
0,8,8,8471679,1,7,1,even,8469506,GOAL,77.0,7.0
1,8,7,8475215,1,7,1,even,8474157,GOAL,-76.0,20.0
1,8,8,8471679,2,7,2,even,8469506,GOAL,-86.0,-13.0
2,8,7,8475215,2,7,3,sh,8476479,GOAL,-89.0,6.0
1,21,3,8468685,0,3,1,even,8475168,GOAL,85.0,-10.0
2,21,3,8468685,0,3,1,pp,8478420,GOAL,71.0,-18.0
2,21,21,8473575,1,3,1,pp,8476459,GOAL,-85.0,-9.0
2,21,21,8473575,2,3,1,pp,8476459,GOAL,-60.0,-7.0
3,21,3,8468685,2,3,2,even,8475197,GOAL,-58.0,7.0
0,15,15,8474651,1,9,1,even,8475227,GOAL,68.0,-34.0
1,15,9,8467950,1,9,1,even,8475792,GOAL,-58.0,7.0
1,15,15,8474651,2,9,2,even,8475913,GOAL,-59.0,1.0
1,15,15,8474651,3,9,3,even,8473544,GOAL,82.0,1.0
2,15,9,8467950,3,9,3,even,8471214,GOAL,-64.0,-12.0
3,15,9,8467950,3,9,3,even,8471214,GOAL,-65.0,-1.0
3,15,15,8474651,4,9,3,even,8475913,GOAL,67.0,3.0
4,15,9,8467950,4,9,3,even,8471214,GOAL,-53.0,-8.0
0,30,30,8471227,1,17,2,pp,8477511,GOAL,85.0,-2.0
0,30,30,8471227,2,17,2,even,8477946,GOAL,82.0,3.0
1,30,17,8470657,2,17,3,even,8478493,GOAL,85.0,10.0
2,30,17,8470657,2,17,3,even,8473485,GOAL,84.0,-3.0
2,30,30,8471227,3,17,3,even,8468083,GOAL,-60.0,3.0
2,30,30,8471227,4,17,3,even,8476924,GOAL,-58.0,-12.0
0,5,5,8474550,1,16,1,even,8477451,GOAL,-78.0,-10.0
0,5,5,8474550,2,16,1,even,8476438,GOAL,-82.0,-3.0
0,5,5,8474550,3,16,1,even,8477951,GOAL,-82.0,-10.0
0,5,5,8474550,4,16,1,even,8476438,GOAL,-77.0,-8.0
0,5,5,8476899,5,16,1,even,8469544,GOAL,-71.0,17.0
1,5,16,8470645,5,16,2,even,8473548,GOAL,-83.0,-18.0
1,5,5,8476899,6,16,2,even,8474141,GOAL,87.0,-10.0
1,5,5,8476899,7,16,2,even,8475209,GOAL,76.0,2.0
1,5,5,8476899,8,16,2,even,8477951,GOAL,49.0,18.0
1,5,5,8476899,9,16,3,even,8476438,GOAL,-78.0,-3.0
1,5,5,8476899,10,16,3,even,8470607,GOAL,-76.0,-8.0
1,53,24,8476434,0,24,1,even,8477407,GOAL,-82.0,9.0
2,53,24,8476434,0,24,1,even,8479343,GOAL,-82.0,-7.0
2,53,53,8475839,1,24,1,even,8470621,GOAL,66.0,12.0
3,53,24,8476434,1,24,2,pp,8477503,GOAL,82.0,-9.0
4,53,24,8476434,1,24,2,pp,8478432,GOAL,81.0,1.0
4,53,53,8475839,2,24,2,even,8470621,GOAL,-81.0,4.0
4,53,53,8475839,3,24,2,even,8478131,GOAL,-63.0,9.0
4,53,53,8475839,4,24,3,even,8471699,GOAL,81.0,2.0
4,53,53,8475839,5,24,3,even,8476483,GOAL,73.0,-13.0
0,4,4,8473607,1,26,2,even,8473453,GOAL,78.0,7.0
0,4,4,8473607,2,26,3,pp,8475726,GOAL,-82.0,1.0
0,2,2,8471306,1,29,1,even,8477947,GOAL,80.0,-3.0
0,2,2,8471306,2,29,1,even,8474715,GOAL,85.0,-5.0
0,2,2,8471306,3,29,2,even,8476850,GOAL,-78.0,-17.0
0,2,2,8471306,4,29,2,pp,8478460,GOAL,-32.0,1.0
0,2,2,8471306,5,29,2,even,8479400,GOAL,-61.0,3.0
0,13,13,8466141,1,14,1,even,8476292,GOAL,77.0,-7.0
0,13,13,8466141,2,14,2,even,8478010,GOAL,-80.0,-9.0
1,13,14,8476883,2,14,2,even,8475736,GOAL,77.0,3.0
2,13,14,8476883,2,14,2,even,8475796,GOAL,76.0,5.0
2,13,13,8466141,3,14,3,pp,8476480,GOAL,79.0,-6.0
2,13,13,8466141,4,14,3,even,8476453,GOAL,64.0,1.0
3,13,14,8476883,4,14,3,even,8476456,GOAL,-74.0,1.0
0,54,54,8470594,1,25,2,pp,8475794,GOAL,68.0,8.0
1,54,25,8470140,1,25,3,even,8471707,GOAL,51.0,-21.0
2,54,25,8470140,1,25,3,even,8471707,GOAL,75.0,-10.0
0,3,3,8468685,1,10,1,even,8468575,GOAL,-56.0,13.0
1,3,10,8475883,1,10,1,even,8476468,GOAL,75.0,2.0
1,3,3,8468685,2,10,1,even,8475786,GOAL,-83.0,8.0
1,3,3,8468685,3,10,1,pp,8474581,GOAL,-63.0,-6.0
1,3,3,8468685,4,10,1,even,8479458,GOAL,-44.0,15.0
1,3,3,8468685,5,10,1,even,8475786,GOAL,-80.0,0.0
2,3,10,8475883,5,10,1,pp,8474031,GOAL,32.0,-16.0
3,3,10,8475883,5,10,2,pp,8476459,GOAL,-66.0,-14.0
4,3,10,8475883,5,10,2,even,8471686,GOAL,-73.0,0.0
5,3,10,8475883,5,10,2,even,8475692,GOAL,-34.0,-16.0
5,3,3,8471715,6,10,3,even,8475098,GOAL,-76.0,2.0
