away,away_id,d_team,home,home_id,period,pp_status,shooter,type,x,y
0,10,10,0,52,1,even,8470828,MISSED_SHOT,-33.0,-19.0
0,10,52,0,52,1,even,8468493,MISSED_SHOT,37.0,26.0
0,10,52,0,52,1,even,8475172,MISSED_SHOT,51.0,1.0
0,10,10,0,52,1,pp,8474574,MISSED_SHOT,-50.0,-6.0
0,10,10,0,52,1,even,8473412,MISSED_SHOT,-48.0,35.0
0,10,10,0,52,1,even,8471218,MISSED_SHOT,-50.0,23.0
0,10,10,0,52,1,pp,8471218,MISSED_SHOT,-68.0,18.0
0,10,52,0,52,1,pp,8478483,MISSED_SHOT,40.0,-25.0
1,10,52,0,52,1,even,8477015,MISSED_SHOT,36.0,-27.0
3,10,10,0,52,2,even,8473412,MISSED_SHOT,58.0,2.0
3,10,10,0,52,2,pp,8476392,MISSED_SHOT,79.0,-1.0
4,10,10,0,52,2,even,8479339,MISSED_SHOT,59.0,29.0
4,10,10,0,52,2,pp,8477940,MISSED_SHOT,54.0,-21.0
4,10,52,0,52,2,even,8475172,MISSED_SHOT,-68.0,13.0
4,10,52,0,52,2,even,8474037,MISSED_SHOT,-84.0,-29.0
4,10,52,0,52,2,even,8474709,MISSED_SHOT,-78.0,-3.0
5,10,10,0,52,3,even,8470834,MISSED_SHOT,-82.0,13.0
7,10,52,2,52,3,even,8476853,MISSED_SHOT,38.0,8.0
0,19,19,0,5,1,sh,8477240,MISSED_SHOT,86.0,-17.0
0,19,5,0,5,1,pp,8475170,MISSED_SHOT,-58.0,24.0
0,19,19,0,5,1,even,8476874,MISSED_SHOT,35.0,29.0
0,19,5,1,5,1,even,8474145,MISSED_SHOT,-35.0,12.0
2,19,5,1,5,1,even,8474565,MISSED_SHOT,-52.0,13.0
2,19,5,1,5,2,even,8475765,MISSED_SHOT,61.0,4.0
2,19,19,1,5,2,even,8477404,MISSED_SHOT,-79.0,5.0
2,19,19,1,5,2,even,8477240,MISSED_SHOT,-76.0,1.0
2,19,5,1,5,2,even,8476441,MISSED_SHOT,36.0,12.0
2,19,5,1,5,2,even,8479420,MISSED_SHOT,72.0,-12.0
2,19,5,1,5,2,even,8474145,MISSED_SHOT,47.0,-30.0
2,19,5,1,5,2,even,8475170,MISSED_SHOT,69.0,3.0
2,19,5,1,5,2,even,8476892,MISSED_SHOT,41.0,-8.0
2,19,5,1,5,2,even,8476441,MISSED_SHOT,76.0,28.0
3,19,19,2,5,2,even,8475208,MISSED_SHOT,-37.0,-17.0
3,19,19,2,5,3,even,8474013,MISSED_SHOT,34.0,4.0
3,19,19,2,5,3,even,8474602,MISSED_SHOT,37.0,-14.0
4,19,5,2,5,3,even,8475768,MISSED_SHOT,-67.0,11.0
4,19,19,2,5,3,even,8476293,MISSED_SHOT,59.0,29.0
4,19,19,2,5,3,even,8477404,MISSED_SHOT,81.0,14.0
4,19,19,2,5,3,even,8474602,MISSED_SHOT,40.0,5.0
4,19,19,2,5,3,pp,8477404,MISSED_SHOT,68.0,6.0
4,19,19,2,5,3,even,8471675,MISSED_SHOT,77.0,2.0
4,19,19,2,5,3,even,8477240,MISSED_SHOT,77.0,4.0
4,19,5,2,5,3,even,8475768,MISSED_SHOT,-86.0,-7.0
4,19,19,2,5,3,even,8471436,MISSED_SHOT,35.0,30.0
4,19,19,2,5,3,pp,8473548,MISSED_SHOT,84.0,11.0
4,19,19,2,5,3,pp,8471215,MISSED_SHOT,54.0,-4.0
4,19,19,3,5,3,even,8477839,MISSED_SHOT,83.0,-14.0
4,19,19,4,5,3,even,8474176,MISSED_SHOT,51.0,14.0
4,19,19,4,5,3,even,8471215,MISSED_SHOT,75.0,2.0
4,19,19,4,5,4,even,8473548,MISSED_SHOT,-50.0,-7.0
0,20,22,0,22,1,even,8476346,MISSED_SHOT,-40.0,-28.0
0,20,20,0,22,1,even,8476457,MISSED_SHOT,45.0,-25.0
0,20,20,0,22,1,even,8476472,MISSED_SHOT,52.0,36.0
0,20,22,0,22,1,even,8475907,MISSED_SHOT,-56.0,10.0
0,20,20,0,22,1,even,8473468,MISSED_SHOT,43.0,-22.0
0,20,20,0,22,1,even,8476988,MISSED_SHOT,45.0,-35.0
0,20,22,0,22,1,even,8470162,MISSED_SHOT,-42.0,-20.0
0,20,22,0,22,1,even,8474150,MISSED_SHOT,-78.0,8.0
0,20,20,0,22,1,even,8476472,MISSED_SHOT,48.0,26.0
0,20,22,1,22,1,even,8477497,MISSED_SHOT,-69.0,-3.0
0,20,20,1,22,1,sh,8476472,MISSED_SHOT,43.0,27.0
0,20,22,1,22,1,even,8476462,MISSED_SHOT,-72.0,33.0
0,20,22,1,22,1,even,8476462,MISSED_SHOT,-41.0,29.0
0,20,20,1,22,1,even,8474034,MISSED_SHOT,75.0,-2.0
0,20,20,1,22,2,even,8478402,MISSED_SHOT,-63.0,-16.0
0,20,22,1,22,2,even,8477497,MISSED_SHOT,55.0,9.0
0,20,22,1,22,2,even,8474673,MISSED_SHOT,43.0,13.0
0,20,20,1,22,2,even,8473468,MISSED_SHOT,-33.0,14.0
0,20,20,1,22,2,even,8477498,MISSED_SHOT,-32.0,-21.0
0,20,22,1,22,2,even,8479314,MISSED_SHOT,78.0,-13.0
0,20,20,1,22,2,even,8477934,MISSED_SHOT,-77.0,3.0
0,20,20,1,22,2,even,8474034,MISSED_SHOT,-72.0,-10.0
0,20,22,1,22,2,even,8479314,MISSED_SHOT,60.0,4.0
0,20,20,1,22,2,even,8476457,MISSED_SHOT,-78.0,7.0
0,20,22,1,22,2,even,8475907,MISSED_SHOT,79.0,10.0
0,20,20,1,22,3,even,8476472,MISSED_SHOT,35.0,29.0
0,20,20,2,22,3,even,8477934,MISSED_SHOT,72.0,16.0
0,20,20,2,22,3,even,8478402,MISSED_SHOT,79.0,7.0
0,20,22,2,22,3,even,8470966,MISSED_SHOT,-13.0,1.0
0,20,20,2,22,3,even,8476988,MISSED_SHOT,39.0,7.0
0,20,20,2,22,3,even,8473473,MISSED_SHOT,73.0,-25.0
0,4,4,0,28,1,even,8470613,MISSED_SHOT,31.0,-27.0
0,4,28,0,28,1,even,8477290,MISSED_SHOT,-84.0,7.0
0,4,28,0,28,1,even,8478439,MISSED_SHOT,-64.0,0.0
0,4,28,0,28,1,even,8475430,MISSED_SHOT,-40.0,-8.0
0,4,28,0,28,1,even,8474161,MISSED_SHOT,-43.0,-8.0
0,4,28,0,28,1,even,8474161,MISSED_SHOT,-51.0,5.0
0,4,4,0,28,1,even,8478099,MISSED_SHOT,75.0,8.0
2,4,4,0,28,1,even,8476919,MISSED_SHOT,85.0,5.0
2,4,28,0,28,1,even,8479974,MISSED_SHOT,-69.0,-1.0
2,4,4,1,28,1,even,8474053,MISSED_SHOT,53.0,31.0
2,4,28,1,28,1,sh,8475462,MISSED_SHOT,-41.0,17.0
2,4,4,2,28,2,even,8475820,MISSED_SHOT,-72.0,-4.0
2,4,4,2,28,2,even,8475455,MISSED_SHOT,-45.0,-29.0
2,4,4,2,28,2,even,8475820,MISSED_SHOT,-61.0,-5.0
2,4,28,2,28,2,even,8474161,MISSED_SHOT,83.0,7.0
3,4,4,2,28,2,even,8468208,MISSED_SHOT,-87.0,7.0
3,4,28,2,28,3,sh,8475430,MISSED_SHOT,-42.0,-26.0
3,4,4,2,28,3,pp,8476331,MISSED_SHOT,48.0,-27.0
3,4,28,3,28,3,even,8475738,MISSED_SHOT,-82.0,1.0
4,4,4,3,28,3,even,8476331,MISSED_SHOT,33.0,-29.0
4,4,4,3,28,3,even,8475820,MISSED_SHOT,65.0,-6.0
4,4,28,3,28,3,even,8476872,MISSED_SHOT,-73.0,-12.0
4,4,28,3,28,3,even,8474190,MISSED_SHOT,-82.0,5.0
4,4,4,3,28,3,even,8477922,MISSED_SHOT,58.0,-5.0
0,18,18,0,6,1,even,8477956,MISSED_SHOT,39.0,-32.0
0,18,6,0,6,1,pp,8475218,MISSED_SHOT,-43.0,-21.0
0,18,6,0,6,1,even,8474056,MISSED_SHOT,-60.0,-12.0
0,18,6,0,6,1,even,8475793,MISSED_SHOT,-75.0,11.0
0,18,18,1,6,1,even,8475727,MISSED_SHOT,55.0,22.0
1,18,6,1,6,2,pp,8475225,MISSED_SHOT,74.0,-27.0
1,18,6,1,6,2,pp,8474009,MISSED_SHOT,69.0,2.0
1,18,6,1,6,2,even,8474009,MISSED_SHOT,72.0,-7.0
1,18,18,1,6,2,even,8476374,MISSED_SHOT,-69.0,1.0
1,18,18,1,6,2,pp,8473419,MISSED_SHOT,-77.0,-20.0
1,18,18,2,6,2,pp,8474062,MISSED_SHOT,-57.0,7.0
1,18,18,2,6,2,even,8465009,MISSED_SHOT,-43.0,-26.0
1,18,18,3,6,2,even,8476191,MISSED_SHOT,-43.0,-16.0
1,18,18,3,6,2,even,8471717,MISSED_SHOT,-45.0,32.0
1,18,6,3,6,3,pp,8475225,MISSED_SHOT,-55.0,32.0
1,18,18,3,6,3,even,8474062,MISSED_SHOT,71.0,5.0
1,18,18,3,6,3,even,8478366,MISSED_SHOT,83.0,27.0
1,18,18,3,6,3,even,8477213,MISSED_SHOT,65.0,-1.0
1,18,6,3,6,3,even,8474600,MISSED_SHOT,-38.0,-21.0
1,18,6,3,6,3,even,8475225,MISSED_SHOT,-78.0,-15.0
1,18,18,3,6,3,even,8478366,MISSED_SHOT,55.0,-18.0
1,18,6,3,6,3,even,8476887,MISSED_SHOT,-84.0,-19.0
0,8,7,0,7,1,pp,8476948,MISSED_SHOT,-36.0,20.0
