away,d_team,goalie,home,period,pp_status,shooter,type,x,y
10,10,8475883,52,1,even,8477504,SHOT,-36.0,-28.0
10,10,8475883,52,1,even,8473574,SHOT,-75.0,1.0
10,10,8475883,52,1,even,8473412,SHOT,-73.0,10.0
10,52,8473461,52,1,even,8470611,SHOT,80.0,-3.0
10,10,8475883,52,1,pp,8479339,SHOT,-44.0,-21.0
10,10,8475883,52,1,pp,8470834,SHOT,-38.0,-5.0
10,10,8475883,52,1,pp,8474574,SHOT,-47.0,-23.0
10,10,8475883,52,1,pp,8477940,SHOT,-62.0,21.0
10,10,8475883,52,1,even,8476885,SHOT,-36.0,-18.0
10,52,8473461,52,1,even,8466139,SHOT,60.0,7.0
10,10,8475883,52,1,even,8477940,SHOT,-64.0,-38.0
10,52,8473461,52,1,sh,8468493,SHOT,-80.0,11.0
10,10,8475883,52,1,pp,8476885,SHOT,-81.0,-2.0
10,10,8475883,52,1,pp,8477504,SHOT,-63.0,-14.0
10,52,8473461,52,1,even,8474037,SHOT,68.0,1.0
10,10,8475883,52,1,even,8470834,SHOT,-73.0,18.0
10,10,8475883,52,1,pp,8476392,SHOT,-85.0,-6.0
10,10,8475883,52,1,pp,8473412,SHOT,-76.0,0.0
10,10,8475883,52,1,pp,8476885,SHOT,-37.0,-1.0
10,52,8473461,52,1,even,8468493,SHOT,78.0,-4.0
10,10,8475883,52,1,sh,8476392,SHOT,61.0,-38.0
10,52,8473461,52,1,pp,8474037,SHOT,85.0,-7.0
10,52,8473461,52,1,pp,8474037,SHOT,85.0,-6.0
10,52,8473461,52,1,even,8470611,SHOT,69.0,4.0
10,10,8475883,52,1,pp,8476392,SHOT,-79.0,-5.0
10,10,8475883,52,2,even,8473574,SHOT,70.0,0.0
10,10,8475883,52,2,even,8470834,SHOT,34.0,-24.0
10,10,8475883,52,2,even,8477429,SHOT,80.0,2.0
10,10,8475883,52,2,pp,8476460,SHOT,52.0,27.0
10,10,8475883,52,2,pp,8476460,SHOT,52.0,23.0
10,52,8473461,52,2,sh,8476853,SHOT,35.0,-23.0
10,10,8475883,52,2,pp,8474574,SHOT,73.0,23.0
10,10,8475883,52,2,even,8476885,SHOT,34.0,-9.0
10,52,8473461,52,2,even,8476941,SHOT,-39.0,25.0
10,52,8473461,52,2,sh,8479458,SHOT,84.0,31.0
10,10,8475883,52,2,pp,8473412,SHOT,80.0,5.0
10,10,8475883,52,2,pp,8470834,SHOT,35.0,-5.0
10,10,8475883,52,2,pp,8471218,SHOT,45.0,-22.0
10,52,8473461,52,2,even,8475172,SHOT,-55.0,2.0
10,52,8473461,52,2,pp,8478483,SHOT,-43.0,17.0
10,52,8473461,52,2,even,8475172,SHOT,-70.0,10.0
10,52,8473461,52,2,even,8473463,SHOT,-80.0,1.0
10,10,8475883,52,3,even,8470828,SHOT,-57.0,-26.0
10,10,8475883,52,3,even,8476392,SHOT,-69.0,16.0
10,52,8476945,52,3,even,8466139,SHOT,16.0,22.0
10,10,8475883,52,3,pp,8476885,SHOT,-52.0,-16.0
10,10,8475883,52,3,pp,8473618,SHOT,-75.0,5.0
10,10,8475883,52,3,even,8470834,SHOT,-35.0,18.0
10,52,8476945,52,3,pp,8474037,SHOT,66.0,-16.0
10,52,8476945,52,3,pp,8475172,SHOT,62.0,14.0
10,52,8476945,52,3,pp,8477939,SHOT,62.0,-19.0
10,52,8476945,52,3,pp,8480158,SHOT,60.0,15.0
10,52,8476945,52,3,even,8476853,SHOT,35.0,3.0
10,52,8476945,52,3,even,8474037,SHOT,79.0,0.0
10,52,8476945,52,3,even,8476853,SHOT,58.0,24.0
10,10,8475883,52,3,even,8471218,SHOT,-79.0,-1.0
10,10,8475883,52,3,even,8476460,SHOT,-66.0,8.0
10,52,8476945,52,3,even,8466139,SHOT,83.0,-28.0
10,10,8475883,52,3,even,8479339,SHOT,-10.0,-27.0
19,19,8474596,5,1,even,8471724,SHOT,57.0,4.0
19,5,8476899,5,1,even,8476436,SHOT,-78.0,3.0
19,5,8476899,5,1,pp,8475765,SHOT,-52.0,24.0
19,5,8476899,5,1,pp,8475170,SHOT,-81.0,5.0
19,5,8476899,5,1,pp,8474565,SHOT,-43.0,34.0
19,19,8474596,5,1,even,8471436,SHOT,9.0,-18.0
19,19,8474596,5,1,even,8477839,SHOT,77.0,0.0
19,19,8474596,5,1,even,8475208,SHOT,40.0,0.0
19,19,8474596,5,1,even,8471215,SHOT,63.0,12.0
19,19,8474596,5,1,even,8476874,SHOT,-29.0,-20.0
19,5,8476899,5,1,even,8474125,SHOT,-78.0,-12.0
19,5,8476899,5,1,even,8476436,SHOT,-81.0,-7.0
19,5,8476899,5,1,even,8475170,SHOT,-64.0,19.0
19,5,8476899,5,1,even,8471669,SHOT,-80.0,5.0
19,19,8474596,5,1,even,8474602,SHOT,35.0,-25.0
19,19,8474596,5,1,even,8474602,SHOT,37.0,-14.0
19,19,8474596,5,1,even,8476293,SHOT,81.0,-5.0
19,19,8474596,5,1,even,8471436,SHOT,40.0,32.0
19,5,8476899,5,1,even,8469501,SHOT,-73.0,1.0
19,5,8476899,5,1,even,8474565,SHOT,-30.0,11.0
19,19,8474596,5,1,even,8474176,SHOT,16.0,-29.0
19,5,8476899,5,2,even,8471669,SHOT,87.0,-7.0
19,5,8476899,5,2,even,8475175,SHOT,63.0,34.0
19,19,8474596,5,2,even,8471817,SHOT,-77.0,-15.0
19,5,8476899,5,2,even,8476436,SHOT,71.0,2.0
19,5,8476899,5,2,even,8470105,SHOT,44.0,21.0
19,19,8474596,5,2,even,8475735,SHOT,-77.0,-15.0
19,5,8476899,5,2,even,8474565,SHOT,69.0,-36.0
19,19,8474596,5,2,even,8476874,SHOT,-47.0,-20.0
19,19,8474596,5,2,even,8473548,SHOT,-81.0,-3.0
19,5,8476899,5,2,even,8476436,SHOT,76.0,20.0
19,5,8476899,5,2,even,8475768,SHOT,78.0,10.0
19,5,8476899,5,2,even,8476897,SHOT,63.0,-27.0
19,19,8474596,5,2,pp,8477839,SHOT,-67.0,12.0
19,19,8474596,5,2,even,8475208,SHOT,-68.0,-32.0
19,5,8476899,5,2,even,8475768,SHOT,74.0,-12.0
19,19,8474596,5,2,even,8471724,SHOT,-60.0,-30.0
19,19,8474596,5,2,even,8474176,SHOT,-90.0,-7.0
19,19,8474596,5,2,even,8475832,SHOT,-89.0,-7.0
19,5,8476899,5,2,even,8474565,SHOT,36.0,-16.0
19,5,8476899,5,2,even,8476441,SHOT,35.0,10.0
19,5,8476899,5,2,even,8476441,SHOT,51.0,29.0
19,5,8476899,5,3,even,8476441,SHOT,-32.0,-33.0
19,5,8476899,5,3,even,8471669,SHOT,-73.0,10.0
19,19,8474596,5,3,even,8476874,SHOT,38.0,27.0
19,19,8474596,5,3,even,8474176,SHOT,66.0,34.0
19,5,8476899,5,3,even,8475768,SHOT,-80.0,0.0
19,5,8476899,5,3,even,8476441,SHOT,-37.0,-34.0
19,19,8474596,5,3,even,8473548,SHOT,50.0,-21.0
19,19,8474596,5,3,even,8471215,SHOT,86.0,-14.0
19,5,8476899,5,3,even,8475170,SHOT,-53.0,-8.0
19,5,8476899,5,3,even,8474565,SHOT,-38.0,23.0
19,19,8474596,5,3,pp,8473548,SHOT,55.0,19.0
19,19,8474596,5,3,pp,8471215,SHOT,78.0,-11.0
19,19,8474596,5,3,even,8471675,SHOT,85.0,-10.0
19,19,8474596,5,3,even,8474602,SHOT,35.0,-1.0
19,19,8474596,5,3,even,8473548,SHOT,54.0,-13.0
19,5,8476899,5,3,even,8474565,SHOT,-71.0,16.0
20,20,8469608,22,1,even,8478402,SHOT,82.0,-2.0
20,20,8469608,22,1,even,8476472,SHOT,39.0,31.0
20,20,8469608,22,1,even,8476458,SHOT,79.0,30.0
20,22,8475660,22,1,even,8471346,SHOT,-73.0,3.0
20,20,8469608,22,1,even,8478402,SHOT,82.0,-20.0
20,22,8475660,22,1,even,8470966,SHOT,-37.0,-24.0
20,22,8475660,22,1,even,8476462,SHOT,-58.0,16.0
20,22,8475660,22,1,even,8477497,SHOT,-17.0,9.0
20,20,8469608,22,1,even,8473914,SHOT,69.0,-10.0
20,20,8469608,22,1,even,8473914,SHOT,78.0,-5.0
20,20,8469608,22,1,even,8473914,SHOT,82.0,4.0
20,20,8469608,22,1,even,8473473,SHOT,63.0,22.0
20,22,8475660,22,1,even,8474150,SHOT,-76.0,-3.0
20,20,8469608,22,1,even,8477498,SHOT,80.0,34.0
20,20,8469608,22,1,even,8477934,SHOT,85.0,-30.0
20,20,8469608,22,1,even,8477934,SHOT,83.0,-4.0
20,22,8475660,22,1,even,8475907,SHOT,-70.0,6.0
20,22,8475660,22,1,pp,8477497,SHOT,-75.0,-2.0
20,22,8475660,22,1,even,8470966,SHOT,-37.0,-27.0
20,20,8469608,22,1,even,8478402,SHOT,49.0,-25.0
20,20,8469608,22,1,sh,8469638,SHOT,28.0,5.0
20,22,8475660,22,1,pp,8479314,SHOT,-56.0,-11.0
20,22,8475660,22,1,pp,8476462,SHOT,-40.0,38.0
20,20,8469608,22,1,even,8476472,SHOT,45.0,-12.0
20,20,8469608,22,1,even,8476458,SHOT,50.0,0.0
20,22,8475660,22,1,even,8470966,SHOT,-60.0,0.0
20,22,8475660,22,1,even,8475907,SHOT,-20.0,4.0
20,22,8475660,22,1,even,8475907,SHOT,-83.0,-5.0
20,20,8469608,22,2,even,8476472,SHOT,-53.0,-24.0
20,20,8469608,22,2,even,8476457,SHOT,-46.0,29.0
20,20,8469608,22,2,even,8471729,SHOT,-51.0,-14.0
20,20,8469608,22,2,even,8471729,SHOT,-63.0,-36.0
20,20,8469608,22,2,even,8478402,SHOT,-76.0,-2.0
20,20,8469608,22,2,even,8476472,SHOT,-75.0,-1.0
20,20,8469608,22,2,even,8474034,SHOT,-76.0,1.0
20,20,8469608,22,2,pp,8476472,SHOT,-41.0,13.0
20,20,8469608,22,2,even,8476457,SHOT,-80.0,-23.0
20,22,8475660,22,2,even,8474628,SHOT,61.0,-21.0
20,20,8469608,22,2,even,8475178,SHOT,-59.0,-29.0
20,20,8469608,22,2,even,8476472,SHOT,-55.0,-21.0
20,22,8475660,22,2,even,8474673,SHOT,41.0,13.0
20,22,8475660,22,2,even,8470966,SHOT,70.0,34.0
20,22,8475660,22,2,even,8479314,SHOT,22.0,-22.0
20,20,8469608,22,2,even,8477934,SHOT,-88.0,9.0
20,22,8475660,22,2,even,8477497,SHOT,80.0,3.0
20,22,8475660,22,2,even,8471346,SHOT,46.0,-21.0
20,20,8469608,22,2,even,8474034,SHOT,-60.0,25.0
20,22,8475660,22,2,even,8474749,SHOT,73.0,-27.0
20,22,8475660,22,2,even,8475907,SHOT,85.0,14.0
20,22,8475660,22,2,even,8471346,SHOT,67.0,-33.0
20,20,8469608,22,3,even,8477934,SHOT,79.0,-17.0
20,20,8469608,22,3,even,8474034,SHOT,83.0,-4.0
20,20,8469608,22,3,even,8477934,SHOT,73.0,32.0
20,20,8469608,22,3,even,8475178,SHOT,52.0,5.0
20,22,8475660,22,3,even,8474749,SHOT,95.0,10.0
20,22,8475660,22,3,even,8471346,SHOT,-52.0,-33.0
20,20,8469608,22,3,even,8476472,SHOT,46.0,12.0
20,20,8469608,22,3,even,8477498,SHOT,60.0,28.0
20,20,8469608,22,3,even,8469638,SHOT,66.0,-26.0
20,20,8469608,22,3,even,8477498,SHOT,47.0,29.0
20,22,8475660,22,3,even,8470162,SHOT,-81.0,-2.0
20,20,8469608,22,3,even,8476472,SHOT,74.0,24.0
20,20,8469608,22,3,even,8476472,SHOT,30.0,23.0
20,22,8475660,22,3,even,8477497,SHOT,-54.0,-3.0
20,20,8469608,22,3,even,8477498,SHOT,32.0,27.0
20,20,8469608,22,3,even,8475178,SHOT,78.0,3.0
20,20,8469608,22,3,even,8471729,SHOT,68.0,21.0
20,20,8469608,22,3,even,8479465,SHOT,78.0,2.0
20,22,8475660,22,3,even,8476462,SHOT,-67.0,-23.0
4,4,8470880,28,1,even,8474571,SHOT,-29.0,40.0
4,4,8470880,28,1,even,8470613,SHOT,28.0,-24.0
4,4,8470880,28,1,even,8470613,SHOT,31.0,15.0
4,28,8474889,28,1,even,8479974,SHOT,-63.0,11.0
4,28,8474889,28,1,even,8478500,SHOT,-63.0,-20.0
4,28,8474889,28,1,even,8477290,SHOT,-60.0,11.0
4,4,8470880,28,1,even,8470613,SHOT,67.0,-34.0
4,4,8470880,28,1,even,8476331,SHOT,35.0,18.0
4,28,8474889,28,1,pp,8470047,SHOT,-87.0,7.0
4,28,8474889,28,1,even,8477462,SHOT,-52.0,-32.0
4,4,8470880,28,1,even,8476919,SHOT,38.0,4.0
4,4,8470880,28,1,even,8475455,SHOT,37.0,-13.0
4,28,8474889,28,1,even,8479974,SHOT,-86.0,7.0
4,4,8470880,28,1,even,8475455,SHOT,38.0,11.0
4,4,8470880,28,1,pp,8476881,SHOT,55.0,4.0
4,28,8474889,28,2,even,8476461,SHOT,46.0,-30.0
4,4,8470880,28,2,even,8474053,SHOT,-82.0,33.0
4,4,8470880,28,2,pp,8478099,SHOT,-62.0,-21.0
4,4,8470880,28,2,pp,8471709,SHOT,-40.0,14.0
4,4,8470880,28,2,even,8471498,SHOT,-97.0,-2.0
4,4,8470880,28,2,even,8470613,SHOT,-34.0,21.0
4,28,8474889,28,2,even,8476955,SHOT,63.0,16.0
4,28,8474889,28,2,even,8477462,SHOT,77.0,28.0
4,28,8474889,28,2,sh,8476461,SHOT,82.0,9.0
4,4,8470880,28,2,pp,8476331,SHOT,-75.0,-13.0
4,4,8470880,28,2,pp,8476881,SHOT,-70.0,-22.0
4,4,8470880,28,2,even,8470613,SHOT,-51.0,29.0
4,4,8470880,28,2,even,8478099,SHOT,-78.0,-12.0
4,4,8470880,28,2,even,8468542,SHOT,-42.0,-33.0
4,4,8470880,28,2,even,8470794,SHOT,-66.0,20.0
4,4,8470880,28,2,even,8474571,SHOT,-60.0,27.0
4,4,8470880,28,2,even,8468208,SHOT,-79.0,0.0
4,28,8474889,28,2,sh,8476461,SHOT,54.0,11.0
4,4,8470880,28,3,pp,8474027,SHOT,34.0,-25.0
4,28,8474889,28,3,even,8479974,SHOT,-47.0,-17.0
4,28,8474889,28,3,even,8476906,SHOT,-39.0,-22.0
4,4,8470880,28,3,even,8474053,SHOT,81.0,-8.0
4,4,8470880,28,3,even,8474053,SHOT,83.0,-6.0
4,28,8474889,28,3,even,8476461,SHOT,-78.0,31.0
4,28,8474889,28,3,even,8476955,SHOT,-45.0,-19.0
4,28,8474889,28,3,even,8470047,SHOT,-81.0,1.0
4,28,8474889,28,3,even,8478439,SHOT,-61.0,-10.0
4,4,8470880,28,3,even,8478099,SHOT,69.0,11.0
4,28,8474889,28,3,even,8476872,SHOT,-60.0,-21.0
4,4,8470880,28,3,even,8477922,SHOT,50.0,-18.0
4,28,8474889,28,3,even,8478439,SHOT,-80.0,1.0
4,4,8470880,28,3,even,8475455,SHOT,41.0,3.0
4,28,8474889,28,3,even,8474161,SHOT,-79.0,1.0
4,4,8470880,28,3,even,8466138,SHOT,34.0,1.0
4,28,8474889,28,3,even,8475738,SHOT,-83.0,3.0
4,28,8474889,28,3,pp,8474161,SHOT,-33.0,22.0
4,4,8470880,28,3,sh,8471498,SHOT,66.0,-20.0
4,28,8474889,28,3,pp,8476461,SHOT,-83.0,2.0
4,28,8474889,28,3,pp,8475738,SHOT,-58.0,23.0
4,28,8474889,28,3,pp,8476461,SHOT,-85.0,5.0
4,28,8474889,28,3,even,8478500,SHOT,-59.0,21.0
4,4,8470880,28,3,sh,8474053,SHOT,88.0,-14.0
4,4,8470880,28,3,even,8470794,SHOT,70.0,-16.0
18,18,8471469,6,1,even,8476891,SHOT,-6.0,30.0
18,18,8471469,6,1,sh,8477213,SHOT,51.0,23.0
18,18,8471469,6,1,sh,8478569,SHOT,80.0,1.0
18,18,8471469,6,1,even,8478498,SHOT,79.0,5.0
18,18,8471469,6,1,pp,8471276,SHOT,58.0,16.0
18,18,8471469,6,1,even,8476374,SHOT,79.0,28.0
18,6,8471695,6,1,pp,8475218,SHOT,-44.0,-26.0
18,18,8471469,6,1,sh,8475727,SHOT,42.0,-7.0
18,6,8471695,6,1,pp,8474600,SHOT,-67.0,26.0
18,18,8471469,6,1,sh,8478569,SHOT,54.0,13.0
18,6,8471695,6,1,pp,8474009,SHOT,-59.0,-22.0
18,6,8471695,6,1,even,8475225,SHOT,-65.0,-24.0
18,18,8471469,6,1,even,8471717,SHOT,48.0,-32.0
18,18,8471469,6,1,even,8478443,SHOT,39.0,-18.0
18,6,8471695,6,1,even,8478042,SHOT,-76.0,3.0
18,6,8471695,6,1,even,8478042,SHOT,-74.0,0.0
18,6,8471695,6,1,even,8474600,SHOT,-45.0,-17.0
18,18,8471469,6,1,even,8476374,SHOT,84.0,-7.0
18,6,8471695,6,2,even,8478042,SHOT,48.0,25.0
18,6,8471695,6,2,pp,8474600,SHOT,56.0,-21.0
18,6,8471695,6,2,pp,8474056,SHOT,35.0,-16.0
18,6,8471695,6,2,pp,8475218,SHOT,38.0,26.0
18,6,8471695,6,2,pp,8475225,SHOT,69.0,-3.0
18,18,8471469,6,2,even,8471276,SHOT,-67.0,-10.0
18,18,8471469,6,2,pp,8477956,SHOT,-60.0,-18.0
18,18,8471469,6,2,pp,8474062,SHOT,-62.0,14.0
18,18,8471469,6,2,pp,8474062,SHOT,-79.0,-4.0
18,18,8471469,6,2,even,8478498,SHOT,-66.0,-6.0
18,18,8471469,6,2,pp,8479325,SHOT,-36.0,3.0
18,18,8471469,6,2,pp,8477956,SHOT,-50.0,-17.0
18,6,8471695,6,2,sh,8476925,SHOT,74.0,1.0
18,6,8471695,6,2,even,8474600,SHOT,76.0,-10.0
18,18,8471469,6,2,pp,8475727,SHOT,-61.0,-13.0
18,6,8471695,6,2,even,8475793,SHOT,82.0,-36.0
18,18,8471469,6,2,even,8471717,SHOT,-46.0,31.0
18,18,8471469,6,2,even,8476891,SHOT,-50.0,-29.0
18,6,8471695,6,3,even,8474600,SHOT,-65.0,-35.0
18,6,8471695,6,3,pp,8476887,SHOT,-79.0,-4.0
18,6,8471695,6,3,pp,8474009,SHOT,-78.0,-1.0
18,6,8471695,6,3,pp,8474056,SHOT,-41.0,13.0
18,18,8471469,6,3,even,8477956,SHOT,61.0,25.0
18,18,8471469,6,3,even,8465009,SHOT,40.0,21.0
18,18,8471469,6,3,even,8478498,SHOT,82.0,6.0
18,18,8471469,6,3,even,8478443,SHOT,65.0,-4.0
18,6,8471695,6,3,even,8475714,SHOT,-50.0,15.0
18,6,8471695,6,3,even,8474056,SHOT,-54.0,3.0
18,6,8471695,6,3,even,8476447,SHOT,-67.0,9.0
18,18,8471469,6,3,even,8477213,SHOT,69.0,-24.0
18,18,8471469,6,3,even,8471717,SHOT,38.0,-20.0
18,6,8471695,6,3,even,8476887,SHOT,-75.0,30.0
18,18,8471469,6,3,even,8478366,SHOT,40.0,-4.0
18,6,8471695,6,3,pp,8475714,SHOT,-80.0,3.0
18,6,8471695,6,3,even,8474056,SHOT,15.0,12.0
18,6,8471695,6,3,even,8474056,SHOT,-72.0,-17.0
8,7,8475215,7,1,even,8469521,SHOT,-65.0,-7.0
8,7,8475215,7,1,even,8476948,SHOT,-52.0,1.0
8,7,8475215,7,1,even,8475848,SHOT,-72.0,37.0
8,7,8475215,7,1,pp,8474157,SHOT,-57.0,36.0
8,7,8475215,7,1,pp,8474157,SHOT,-43.0,33.0
8,7,8475215,7,1,pp,8468309,SHOT,-42.0,3.0
8,7,8475215,7,1,pp,8475848,SHOT,-75.0,-2.0
8,8,8471679,7,1,pp,8477499,SHOT,36.0,-3.0
8,8,8471679,7,1,pp,8477499,SHOT,40.0,7.0
8,8,8471679,7,1,pp,8475169,SHOT,79.0,1.0
8,8,8471679,7,1,pp,8475169,SHOT,81.0,-2.0
8,8,8471679,7,1,even,8475158,SHOT,76.0,-20.0
8,8,8471679,7,1,even,8473449,SHOT,84.0,-5.0
8,8,8471679,7,1,even,8476807,SHOT,37.0,-13.0
8,7,8475215,7,1,even,8469521,SHOT,-41.0,-31.0
8,8,8471679,7,1,even,8476878,SHOT,65.0,-25.0
8,8,8471679,7,1,even,8473449,SHOT,72.0,-12.0
8,7,8475215,7,1,even,8476948,SHOT,-49.0,-13.0
8,7,8475215,7,1,even,8477494,SHOT,-79.0,-7.0
8,7,8475215,7,1,even,8477494,SHOT,-81.0,-12.0
8,7,8475215,7,1,even,8469466,SHOT,-79.0,26.0
8,8,8471679,7,1,even,8475169,SHOT,61.0,30.0
8,7,8475215,7,1,even,8468309,SHOT,-75.0,-36.0
8,7,8475215,7,1,even,8476851,SHOT,-80.0,-33.0
8,7,8475215,7,1,even,8476479,SHOT,-45.0,-20.0
8,7,8475215,7,1,even,8473991,SHOT,10.0,-35.0
8,7,8475215,7,2,even,8474157,SHOT,61.0,26.0
8,7,8475215,7,2,even,8477494,SHOT,78.0,2.0
8,7,8475215,7,2,even,8476381,SHOT,73.0,3.0
8,8,8471679,7,2,even,8476878,SHOT,-57.0,-34.0
8,8,8471679,7,2,even,8476470,SHOT,-36.0,-26.0
8,8,8471679,7,2,even,8476470,SHOT,-34.0,-32.0
8,8,8471679,7,2,even,8479755,SHOT,-87.0,29.0
8,8,8471679,7,2,even,8474618,SHOT,-81.0,-3.0
8,8,8471679,7,2,even,8475169,SHOT,-52.0,15.0
8,7,8475215,7,2,pp,8476851,SHOT,78.0,3.0
8,7,8475215,7,2,pp,8476948,SHOT,49.0,-33.0
8,8,8471679,7,2,even,8475169,SHOT,-54.0,-34.0
8,8,8471679,7,2,even,8475169,SHOT,-79.0,-23.0
8,8,8471679,7,2,even,8476878,SHOT,-49.0,-24.0
8,8,8471679,7,2,even,8477499,SHOT,-30.0,31.0
8,8,8471679,7,2,pp,8478403,SHOT,-60.0,-5.0
8,8,8471679,7,2,pp,8475169,SHOT,-59.0,13.0
8,8,8471679,7,2,even,8475169,SHOT,-65.0,-9.0
8,7,8475215,7,2,even,8474157,SHOT,70.0,-10.0
8,8,8471679,7,2,even,8474618,SHOT,-38.0,-9.0
8,7,8475215,7,2,even,8474157,SHOT,79.0,-4.0
8,7,8475215,7,2,even,8477494,SHOT,71.0,8.0
8,7,8475215,7,2,even,8473991,SHOT,35.0,22.0
8,7,8475215,7,2,pp,8475848,SHOT,78.0,-1.0
8,8,8471679,7,2,even,8475169,SHOT,-51.0,-15.0
8,8,8471679,7,2,even,8476495,SHOT,-78.0,4.0
8,8,8471679,7,2,even,8476878,SHOT,-84.0,9.0
8,8,8471679,7,3,even,8478403,SHOT,78.0,-29.0
8,8,8471679,7,3,even,8476878,SHOT,59.0,19.0
8,8,8471679,7,3,even,8476470,SHOT,42.0,3.0
8,8,8471679,7,3,even,8475158,SHOT,37.0,-29.0
8,8,8471679,7,3,even,8476878,SHOT,59.0,-23.0
8,7,8475215,7,3,even,8474038,SHOT,-88.0,7.0
8,7,8475215,7,3,even,8469466,SHOT,-85.0,-6.0
8,8,8471679,7,3,even,8471678,SHOT,72.0,-5.0
8,8,8471679,7,3,even,8475169,SHOT,78.0,38.0
8,7,8475215,7,3,sh,8469521,SHOT,-36.0,-37.0
